benchmark,solver,iterations,makespan-optimum,makespan,robustness
j20.mm/j2010_1.mm,TabuSearch,2500,18,18,20
j20.mm/j2010_1.mm,GeneticAlgorithm,2500,18,18,18
j20.mm/j2010_1.mm,SimulatedAnnealing,2500,18,18,18
j20.mm/j2010_1.mm,HillClimbing,2500,18,18,17
j20.mm/j2010_1.mm,RandomSolver,2500,18,22,16
j20.mm/j2010_1.mm,TabuSearch,5000,18,18,18
j20.mm/j2010_1.mm,GeneticAlgorithm,5000,18,18,22
j20.mm/j2010_1.mm,SimulatedAnnealing,5000,18,18,19
j20.mm/j2010_1.mm,TabuSearch,1000,18,18,16
j20.mm/j2010_1.mm,HillClimbing,5000,18,25,19
j20.mm/j2010_1.mm,GeneticAlgorithm,1000,18,18,15
j20.mm/j2010_1.mm,SimulatedAnnealing,1000,18,19,20
j20.mm/j2010_1.mm,HillClimbing,1000,18,18,17
j20.mm/j2010_1.mm,RandomSolver,1000,18,23,17
j20.mm/j2010_1.mm,TabuSearch,500,18,21,18
j20.mm/j2010_1.mm,RandomSolver,5000,18,24,22
j20.mm/j2010_1.mm,GeneticAlgorithm,500,18,18,14
j20.mm/j2010_1.mm,SimulatedAnnealing,500,18,22,20
j20.mm/j2010_1.mm,HillClimbing,500,18,18,17
j20.mm/j2010_1.mm,RandomSolver,500,18,25,19
j20.mm/j2010_1.mm,TabuSearch,1000,18,19,18
j20.mm/j2010_1.mm,TabuSearch,2500,18,19,23
j20.mm/j2010_1.mm,GeneticAlgorithm,1000,18,18,15
j20.mm/j2010_1.mm,SimulatedAnnealing,1000,18,19,15
j20.mm/j2010_1.mm,HillClimbing,1000,18,19,16
j20.mm/j2010_1.mm,GeneticAlgorithm,2500,18,18,19
j20.mm/j2010_1.mm,SimulatedAnnealing,2500,18,19,23
j20.mm/j2010_1.mm,RandomSolver,1000,18,24,7
j20.mm/j2010_1.mm,TabuSearch,500,18,19,18
j20.mm/j2010_1.mm,HillClimbing,2500,18,19,20
j20.mm/j2010_1.mm,GeneticAlgorithm,500,18,18,16
j20.mm/j2010_1.mm,SimulatedAnnealing,500,18,19,18
j20.mm/j2010_1.mm,HillClimbing,500,18,18,19
j20.mm/j2010_1.mm,RandomSolver,500,18,25,13
j20.mm/j2010_1.mm,TabuSearch,5000,18,18,19
j20.mm/j2010_1.mm,RandomSolver,2500,18,21,15
j20.mm/j2010_1.mm,GeneticAlgorithm,5000,18,18,18
j20.mm/j2010_1.mm,SimulatedAnnealing,5000,18,18,20
j20.mm/j2010_1.mm,HillClimbing,5000,18,19,17
j20.mm/j2010_1.mm,RandomSolver,5000,18,23,13
j20.mm/j2010_1.mm,TabuSearch,2500,18,18,18
j20.mm/j2010_1.mm,GeneticAlgorithm,2500,18,18,21
j20.mm/j2010_1.mm,SimulatedAnnealing,2500,18,18,15
j20.mm/j2010_1.mm,HillClimbing,2500,18,19,23
j20.mm/j2010_1.mm,RandomSolver,2500,18,21,14
j20.mm/j2010_1.mm,TabuSearch,1000,18,18,19
j20.mm/j2010_1.mm,TabuSearch,5000,18,18,19
j20.mm/j2010_1.mm,GeneticAlgorithm,1000,18,18,14
j20.mm/j2010_1.mm,SimulatedAnnealing,1000,18,19,19
j20.mm/j2010_1.mm,HillClimbing,1000,18,18,15
j20.mm/j2010_1.mm,RandomSolver,1000,18,24,21
j20.mm/j2010_1.mm,GeneticAlgorithm,5000,18,18,22
j20.mm/j2010_1.mm,HillClimbing,5000,18,19,18
j20.mm/j2010_1.mm,SimulatedAnnealing,5000,18,18,17
j20.mm/j2010_1.mm,TabuSearch,500,18,18,13
j20.mm/j2010_1.mm,GeneticAlgorithm,500,18,19,13
j20.mm/j2010_1.mm,SimulatedAnnealing,500,18,19,18
j20.mm/j2010_1.mm,HillClimbing,500,18,25,23
j20.mm/j2010_1.mm,RandomSolver,500,18,24,15
j20.mm/j2010_1.mm,RandomSolver,5000,18,24,17
j20.mm/j2010_1.mm,TabuSearch,2500,18,18,17
j20.mm/j2010_1.mm,GeneticAlgorithm,2500,18,18,19
j20.mm/j2010_1.mm,SimulatedAnnealing,2500,18,18,16
j20.mm/j2010_1.mm,HillClimbing,2500,18,18,20
j20.mm/j2010_1.mm,RandomSolver,2500,18,21,10
j20.mm/j2010_1.mm,TabuSearch,5000,18,19,23
j20.mm/j2010_1.mm,GeneticAlgorithm,5000,18,18,18
j20.mm/j2010_1.mm,SimulatedAnnealing,5000,18,18,18
j20.mm/j2010_1.mm,HillClimbing,5000,18,19,21
j20.mm/j2010_1.mm,TabuSearch,1000,18,18,19
j20.mm/j2010_1.mm,RandomSolver,5000,18,23,14
j20.mm/j2010_1.mm,TabuSearch,500,18,18,15
j20.mm/j2010_1.mm,HillClimbing,500,18,19,18
j20.mm/j2010_1.mm,GeneticAlgorithm,1000,18,18,21
j20.mm/j2010_1.mm,SimulatedAnnealing,1000,18,18,17
j20.mm/j2010_1.mm,HillClimbing,1000,18,18,18
j20.mm/j2010_1.mm,RandomSolver,500,18,27,19
j20.mm/j2010_1.mm,SimulatedAnnealing,500,18,19,17
j20.mm/j2010_1.mm,GeneticAlgorithm,500,18,19,17
j20.mm/j2010_1.mm,RandomSolver,1000,18,24,11
j20.mm/j2010_1.mm,TabuSearch,2500,18,19,20
j20.mm/j2010_1.mm,GeneticAlgorithm,2500,18,18,14
j20.mm/j2010_1.mm,SimulatedAnnealing,2500,18,18,16
j20.mm/j2010_1.mm,HillClimbing,2500,18,19,18
j20.mm/j2010_1.mm,RandomSolver,2500,18,23,17
j20.mm/j2010_1.mm,TabuSearch,1000,18,19,15
j20.mm/j2010_1.mm,TabuSearch,5000,18,19,22
j20.mm/j2010_1.mm,GeneticAlgorithm,1000,18,18,18
j20.mm/j2010_1.mm,SimulatedAnnealing,1000,18,22,16
j20.mm/j2010_1.mm,HillClimbing,1000,18,19,16
j20.mm/j2010_1.mm,RandomSolver,1000,18,24,18
j20.mm/j2010_1.mm,HillClimbing,5000,18,18,17
j20.mm/j2010_1.mm,GeneticAlgorithm,5000,18,18,15
j20.mm/j2010_1.mm,TabuSearch,500,18,18,14
j20.mm/j2010_1.mm,SimulatedAnnealing,5000,18,18,18
j20.mm/j2010_1.mm,HillClimbing,500,18,18,17
j20.mm/j2010_1.mm,SimulatedAnnealing,500,18,18,21
j20.mm/j2010_1.mm,GeneticAlgorithm,500,18,19,14
j20.mm/j2010_1.mm,RandomSolver,500,18,25,21
j20.mm/j2010_1.mm,RandomSolver,5000,18,22,19
j20.mm/j2010_1.mm,TabuSearch,1000,18,18,18
