benchmark,solver,iterations,makespan-optimum,makespan,robustness
m1.mm/m110_1.mm,TabuSearch,2500,26,26,12
m1.mm/m110_1.mm,GeneticAlgorithm,2500,26,26,17
m1.mm/m110_1.mm,SimulatedAnnealing,2500,26,26,17
m1.mm/m110_1.mm,HillClimbing,2500,26,26,12
m1.mm/m110_1.mm,TabuSearch,1000,26,26,12
m1.mm/m110_1.mm,GeneticAlgorithm,1000,26,26,17
m1.mm/m110_1.mm,SimulatedAnnealing,1000,26,26,17
m1.mm/m110_1.mm,HillClimbing,1000,26,26,12
m1.mm/m110_1.mm,RandomSolver,2500,26,26,17
m1.mm/m110_1.mm,RandomSolver,1000,26,26,17
m1.mm/m110_1.mm,TabuSearch,500,26,26,12
m1.mm/m110_1.mm,HillClimbing,5000,26,26,12
m1.mm/m110_1.mm,TabuSearch,5000,26,26,6
m1.mm/m110_1.mm,GeneticAlgorithm,500,26,26,17
m1.mm/m110_1.mm,SimulatedAnnealing,500,26,26,17
m1.mm/m110_1.mm,HillClimbing,500,26,26,6
m1.mm/m110_1.mm,RandomSolver,500,26,26,17
m1.mm/m110_1.mm,SimulatedAnnealing,5000,26,26,13
m1.mm/m110_1.mm,GeneticAlgorithm,5000,26,26,17
m1.mm/m110_1.mm,RandomSolver,5000,26,26,17
m1.mm/m110_1.mm,TabuSearch,1000,26,26,12
m1.mm/m110_1.mm,TabuSearch,2500,26,26,12
m1.mm/m110_1.mm,GeneticAlgorithm,1000,26,26,17
m1.mm/m110_1.mm,TabuSearch,5000,26,26,12
m1.mm/m110_1.mm,SimulatedAnnealing,1000,26,26,17
m1.mm/m110_1.mm,HillClimbing,1000,26,26,12
m1.mm/m110_1.mm,GeneticAlgorithm,2500,26,26,17
m1.mm/m110_1.mm,SimulatedAnnealing,2500,26,26,13
m1.mm/m110_1.mm,RandomSolver,1000,26,26,17
m1.mm/m110_1.mm,TabuSearch,500,26,26,12
m1.mm/m110_1.mm,HillClimbing,2500,26,26,12
m1.mm/m110_1.mm,GeneticAlgorithm,500,26,26,17
m1.mm/m110_1.mm,SimulatedAnnealing,500,26,26,17
m1.mm/m110_1.mm,HillClimbing,500,26,26,12
m1.mm/m110_1.mm,GeneticAlgorithm,5000,26,26,17
m1.mm/m110_1.mm,RandomSolver,500,26,26,17
m1.mm/m110_1.mm,SimulatedAnnealing,5000,26,26,17
m1.mm/m110_1.mm,HillClimbing,5000,26,26,12
m1.mm/m110_1.mm,RandomSolver,2500,26,26,17
m1.mm/m110_1.mm,RandomSolver,5000,26,26,17
m1.mm/m110_1.mm,TabuSearch,2500,26,26,12
m1.mm/m110_1.mm,GeneticAlgorithm,2500,26,26,17
m1.mm/m110_1.mm,SimulatedAnnealing,2500,26,26,13
m1.mm/m110_1.mm,HillClimbing,2500,26,26,12
m1.mm/m110_1.mm,RandomSolver,2500,26,26,17
m1.mm/m110_1.mm,TabuSearch,5000,26,26,12
m1.mm/m110_1.mm,GeneticAlgorithm,5000,26,26,17
m1.mm/m110_1.mm,TabuSearch,1000,26,26,13
m1.mm/m110_1.mm,SimulatedAnnealing,5000,26,26,13
m1.mm/m110_1.mm,GeneticAlgorithm,1000,26,26,17
m1.mm/m110_1.mm,SimulatedAnnealing,1000,26,26,12
m1.mm/m110_1.mm,HillClimbing,1000,26,26,12
m1.mm/m110_1.mm,TabuSearch,500,26,26,12
m1.mm/m110_1.mm,HillClimbing,5000,26,26,12
m1.mm/m110_1.mm,GeneticAlgorithm,500,26,26,17
m1.mm/m110_1.mm,SimulatedAnnealing,500,26,26,17
m1.mm/m110_1.mm,HillClimbing,500,26,26,12
m1.mm/m110_1.mm,RandomSolver,1000,26,26,17
m1.mm/m110_1.mm,RandomSolver,500,26,26,17
m1.mm/m110_1.mm,RandomSolver,5000,26,26,17
m1.mm/m110_1.mm,TabuSearch,2500,26,26,12
m1.mm/m110_1.mm,GeneticAlgorithm,2500,26,26,17
m1.mm/m110_1.mm,SimulatedAnnealing,2500,26,26,17
m1.mm/m110_1.mm,HillClimbing,2500,26,26,12
m1.mm/m110_1.mm,RandomSolver,2500,26,26,17
m1.mm/m110_1.mm,TabuSearch,5000,26,26,12
m1.mm/m110_1.mm,TabuSearch,1000,26,26,12
m1.mm/m110_1.mm,GeneticAlgorithm,5000,26,26,17
m1.mm/m110_1.mm,SimulatedAnnealing,5000,26,26,17
m1.mm/m110_1.mm,GeneticAlgorithm,1000,26,26,17
m1.mm/m110_1.mm,SimulatedAnnealing,1000,26,26,17
m1.mm/m110_1.mm,HillClimbing,1000,26,26,12
m1.mm/m110_1.mm,HillClimbing,5000,26,26,12
m1.mm/m110_1.mm,RandomSolver,1000,26,26,17
m1.mm/m110_1.mm,TabuSearch,500,26,26,12
m1.mm/m110_1.mm,HillClimbing,500,26,26,12
m1.mm/m110_1.mm,GeneticAlgorithm,500,26,26,17
