benchmark,solver,iterations,makespan-optimum,makespan,robustness
n0.mm/n010_1.mm,TabuSearch,2500,19,19,10
n0.mm/n010_1.mm,GeneticAlgorithm,2500,19,19,10
n0.mm/n010_1.mm,SimulatedAnnealing,2500,19,19,10
n0.mm/n010_1.mm,HillClimbing,2500,19,19,10
n0.mm/n010_1.mm,RandomSolver,2500,19,20,9
n0.mm/n010_1.mm,TabuSearch,5000,19,19,10
n0.mm/n010_1.mm,GeneticAlgorithm,5000,19,19,10
n0.mm/n010_1.mm,SimulatedAnnealing,5000,19,19,10
n0.mm/n010_1.mm,HillClimbing,5000,19,19,10
n0.mm/n010_1.mm,RandomSolver,5000,19,19,10
n0.mm/n010_1.mm,TabuSearch,1000,19,19,10
n0.mm/n010_1.mm,GeneticAlgorithm,1000,19,19,10
n0.mm/n010_1.mm,TabuSearch,500,19,19,10
n0.mm/n010_1.mm,SimulatedAnnealing,1000,19,19,10
n0.mm/n010_1.mm,HillClimbing,500,19,19,10
n0.mm/n010_1.mm,HillClimbing,1000,19,19,10
n0.mm/n010_1.mm,SimulatedAnnealing,500,19,20,7
n0.mm/n010_1.mm,GeneticAlgorithm,500,19,19,10
n0.mm/n010_1.mm,RandomSolver,500,19,20,8
n0.mm/n010_1.mm,RandomSolver,1000,19,22,10
n0.mm/n010_1.mm,TabuSearch,2500,19,19,10
n0.mm/n010_1.mm,GeneticAlgorithm,2500,19,19,10
n0.mm/n010_1.mm,SimulatedAnnealing,2500,19,19,10
n0.mm/n010_1.mm,HillClimbing,2500,19,19,10
n0.mm/n010_1.mm,RandomSolver,2500,19,20,9
n0.mm/n010_1.mm,TabuSearch,5000,19,19,10
n0.mm/n010_1.mm,GeneticAlgorithm,5000,19,19,10
n0.mm/n010_1.mm,SimulatedAnnealing,5000,19,19,10
n0.mm/n010_1.mm,HillClimbing,5000,19,19,10
n0.mm/n010_1.mm,RandomSolver,5000,19,19,10
n0.mm/n010_1.mm,TabuSearch,1000,19,19,10
n0.mm/n010_1.mm,TabuSearch,500,19,19,10
n0.mm/n010_1.mm,GeneticAlgorithm,500,19,19,10
n0.mm/n010_1.mm,SimulatedAnnealing,500,19,19,10
n0.mm/n010_1.mm,GeneticAlgorithm,1000,19,19,10
n0.mm/n010_1.mm,HillClimbing,500,19,19,10
n0.mm/n010_1.mm,SimulatedAnnealing,1000,19,19,10
n0.mm/n010_1.mm,HillClimbing,1000,19,19,10
n0.mm/n010_1.mm,RandomSolver,500,19,19,7
n0.mm/n010_1.mm,RandomSolver,1000,19,22,9
n0.mm/n010_1.mm,TabuSearch,2500,19,19,10
